time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1590192513.90045643,0.00859205,0.00349079,0.00000383,61266.00000000,0.01179759,0.000000,0.000000
1590192514.00031328,0.00859315,0.00346920,0.00000422,61271.00000000,0.01307158,0.000000,0.000000
1590192514.10015345,0.00859425,0.00384510,0.00000414,61291.00000000,0.01306733,0.000000,0.000000
1590192514.20047331,0.00859575,0.00374843,0.00000478,61308.00000000,0.01470149,0.000000,0.000000
1590192514.30031323,0.00859736,0.00409413,0.00000487,61326.00000000,0.01513933,0.000000,0.000000
1590192514.40015340,0.00860068,0.00204344,0.00000460,61355.00000000,0.02208236,0.000000,0.000000
1590192514.50047326,0.00860186,0.00274442,0.00000519,61376.00000000,0.01342033,0.000000,0.000000
1590192514.60031343,0.00860314,0.00338923,0.00000509,61382.00000000,0.01380376,0.000000,0.000000
1590192514.70015335,0.00860419,0.00350002,0.00000446,61399.00000000,0.01288327,0.000000,0.000000
1590192514.80047345,0.00860567,0.00373811,0.00000507,61424.00000000,0.01460141,0.000000,0.000000
1590192514.90031338,0.00860661,0.00266941,0.00000446,61448.00000000,0.01245755,0.000000,0.000000
1590192515.00017023,0.00860748,0.00261204,0.00000476,61462.00000000,0.01216066,0.000000,0.000000
1590192515.10001016,0.00860842,0.00307649,0.00000437,61465.00000000,0.01240995,0.000000,0.000000
1590192515.20033026,0.00860928,0.00256732,0.00000494,61479.00000000,0.01210979,0.000000,0.000000
1590192515.30017018,0.00861030,0.00299832,0.00000475,61493.00000000,0.01278651,0.000000,0.000000
1590192515.40001035,0.00861160,0.00259003,0.00000499,61500.00000000,0.01391707,0.000000,0.000000
1590192515.50033021,0.00861259,0.00324014,0.00000456,61515.00000000,0.01264272,0.000000,0.000000
1590192515.60017014,0.00861352,0.00251416,0.00000460,61526.00000000,0.01240179,0.000000,0.000000
1590192515.70001030,0.00861480,0.00327144,0.00000515,61547.00000000,0.01383759,0.000000,0.000000
1590192515.80033016,0.00861585,0.00266947,0.00000522,61547.00000000,0.01288407,0.000000,0.000000
1590192515.90017033,0.00861731,0.00317457,0.00000549,61558.00000000,0.01460644,0.000000,0.000000
1590192516.00002718,0.00861885,0.00329907,0.00000544,61582.00000000,0.01487005,0.000000,0.000000
1590192516.10034704,0.00861999,0.00318662,0.00000542,61585.00000000,0.01330877,0.000000,0.000000
1590192516.20018721,0.00862102,0.00282204,0.00000483,61586.00000000,0.01282201,0.000000,0.000000
1590192516.30002713,0.00862191,0.00273037,0.00000447,61602.00000000,0.01223237,0.000000,0.000000
1590192516.40034723,0.00862281,0.00326040,0.00000440,61615.00000000,0.01232868,0.000000,0.000000
1590192516.50018716,0.00862401,0.00286899,0.00000444,61617.00000000,0.01349462,0.000000,0.000000
1590192516.60002708,0.00862479,0.00229083,0.00000399,61472.00000000,0.01181212,0.000000,0.000000
1590192516.70034719,0.00862558,0.00260733,0.00000448,61479.00000000,0.01186326,0.000000,0.000000
1590192516.80018711,0.00862685,0.00365642,0.00000452,61488.00000000,0.01384556,0.000000,0.000000
1590192516.90002704,0.00862909,0.00448437,0.00000540,61508.00000000,0.01778095,0.000000,0.000000
1590192517.00036407,0.00863058,0.00246170,0.00000597,61512.00000000,0.01474526,0.000000,0.000000
1590192517.10020399,0.00863228,0.00474624,0.00000557,61508.00000000,0.01555376,0.000000,0.000000
1590192517.20004392,0.00863319,0.00347329,0.00000425,61426.00000000,0.01239457,0.000000,0.000000
1590192517.30036402,0.00863419,0.00386946,0.00000402,61419.00000000,0.01269155,0.000000,0.000000
1590192517.40020394,0.00863524,0.00369270,0.00000421,61432.00000000,0.01296288,0.000000,0.000000
1590192517.50004411,0.00863669,0.00348041,0.00000481,61447.00000000,0.01456744,0.000000,0.000000
1590192517.60036397,0.00863814,0.00344833,0.00000504,61453.00000000,0.01457870,0.000000,0.000000
1590192517.70020413,0.00864010,0.00294441,0.00000600,61453.00000000,0.01666633,0.000000,0.000000
1590192517.80004406,0.00864212,0.00508504,0.00000480,61425.00000000,0.01692555,0.000000,0.000000
1590192517.90036392,0.00864430,0.00435363,0.00000592,61439.00000000,0.01760922,0.000000,0.000000
1590192518.00022125,0.00864614,0.00460369,0.00000551,61466.00000000,0.01618810,0.000000,0.000000
1590192518.10006118,0.00864738,0.00359089,0.00000499,61482.00000000,0.01373443,0.000000,0.000000
1590192518.20038128,0.00864840,0.00251085,0.00000507,61503.00000000,0.01282352,0.000000,0.000000
1590192518.30022120,0.00864994,0.00343824,0.00000598,61517.00000000,0.01498480,0.000000,0.000000
1590192518.40006113,0.00865187,0.00544101,0.00000454,61533.00000000,0.01658351,0.000000,0.000000
1590192518.50038123,0.00865345,0.00350483,0.00000563,61543.00000000,0.01513647,0.000000,0.000000
1590192518.60022116,0.00865455,0.00268576,0.00000495,61563.00000000,0.01316037,0.000000,0.000000
1590192518.70006108,0.00865704,0.00392702,0.00000676,61583.00000000,0.01887884,0.000000,0.000000
1590192518.80038118,0.00865875,0.00524212,0.00000472,61585.00000000,0.01571016,0.000000,0.000000
1590192518.90022111,0.00866018,0.00369435,0.00000529,61609.00000000,0.01453643,0.000000,0.000000
1590192519.00007796,0.00866255,0.00335120,0.00000449,61628.00000000,0.01840639,0.000000,0.000000
1590192519.10039806,0.00866362,0.00264048,0.00000472,61634.00000000,0.01304601,0.000000,0.000000
1590192519.20023799,0.00866551,0.00487577,0.00000491,61642.00000000,0.01644527,0.000000,0.000000
1590192519.30007815,0.00866695,0.00290415,0.00000533,61657.00000000,0.01460601,0.000000,0.000000
1590192519.40039802,0.00866853,0.00356617,0.00000506,61674.00000000,0.01515699,0.000000,0.000000
1590192519.50023818,0.00867039,0.00456151,0.00000543,61694.00000000,0.01633734,0.000000,0.000000
1590192519.60007811,0.00867243,0.00322007,0.00000597,61709.00000000,0.01705274,0.000000,0.000000
1590192519.70039797,0.00867361,0.00269143,0.00000517,61718.00000000,0.01356240,0.000000,0.000000
1590192519.80023813,0.00867446,0.00252170,0.00000441,61727.00000000,0.01215444,0.000000,0.000000
1590192519.90007806,0.00867658,0.00513283,0.00000535,61729.00000000,0.01740893,0.000000,0.000000
1590192520.00041533,0.00867838,0.00439546,0.00000503,61710.00000000,0.01610245,0.000000,0.000000
1590192520.10025525,0.00868005,0.00331406,0.00000598,61738.00000000,0.01559097,0.000000,0.000000
1590192520.20009518,0.00868103,0.00271517,0.00000467,61753.00000000,0.01270823,0.000000,0.000000
1590192520.30041528,0.00868998,0.00854405,0.00000601,61760.00000000,0.04560163,0.000000,0.000000
